"","store_name","borough","year","store_address","latitude","longitude","type"
"4582","AFAA ENTERPRISE INCORPORATION","Bronx",2014,"2544 B WHITE PLAIN ROAD",40.86454434,-73.8671842,"retail store"
"4583","5 STAR AK DELI GROCERY INC","Staten Island",2014,"196 A BAY ST",40.63726376,-74.0768208,"retail store"
"4584","AAMAR DELI & GROCERY INC","Brooklyn",2014,"383 AVENUE X",40.59083874,-73.96875451,"retail store"
"4585","MANHATTAN POLISH INC","Brooklyn",2014,"854 MANHATTAN AVE",40.72914354,-73.95367991,"retail store"
"4586","SAGARA & ANU CORP","Staten Island",2014,"98 VICTORY BLVD",40.63768055,-74.07973183,"retail store"
"4587","SUSHILUX CORP","Manhattan",2014,"240 E 86TH ST",40.77804889,-73.95257819,"retail store"
"4588","SUSHILUX CORP","Manhattan",2014,"550 2ND AVE",40.74254805,-73.97712384,"retail store"
"4589","SUSHILUX CORP","Manhattan",2014,"2131 BROADWAY",40.78082552,-73.98167128,"retail store"
"4590","SUSHILUX CORP","Manhattan",2014,"766 AVENUE OF THE AMERICAS",40.74426634,-73.9915838,"retail store"
"4591","PEI SUSHI INC","Brooklyn",2014,"3100 OCEAN AVE",40.58548573,-73.9493836,"retail store"
"4592","SAMS AT W 4TH CORP","Manhattan",2014,"275 W 4TH STREET",40.73584475,-74.00333598,"retail store"
"4593","BHATTI BROTHERS CORP","Brooklyn",2014,"6752 4TH AVE",40.63570288,-74.02329195,"retail store"
"4594","LIVONIA DISCOUNT&GROCERY CORP","Brooklyn",2014,"901 LIVONIA AVENUE",40.6664622,-73.88357929,"retail store"
"4595","CONFE PARK DELI GROCERY CORP","Bronx",2014,"4666 PARK AVE",40.85809501,-73.89263233,"retail store"
"4596","37 MANGO RICO CORP","Queens",2014,"81-06 37TH AVE",40.74957309,-73.88493104,"retail store"
"4597","L&N GOURMET DELI LLC","Bronx",2014,"6119 BROADWAY #21",40.89418694,-73.8966833,"retail store"
"4598","SUPER BAGELS INC","Brooklyn",2014,"4704 13TH AVE",40.63610626,-73.9912098,"retail store"
"4599","HUDSON CANDY AND GROCERY CORP","Manhattan",2014,"600 W 161ST ST",40.8366855,-73.94360604,"retail store"
"4600","TREASURE GROUP INC","Queens",2014,"10206 JAMAICA AVE",40.69506784,-73.84501901,"retail store"
"4601","VPS INTERACTIVE INC","Brooklyn",2014,"1703 KINGS HWY",40.60978361,-73.956299,"retail store"
"4602","GREEN POINT ORGANIC MARKET INC","Brooklyn",2014,"626 MANHATTAN AVE",40.72372074,-73.95061297,"retail store"
"4603","JUNCTION GROCERY & DISCOUNT STORE INC","Queens",2014,"49-10 JUNCTION BLVD",40.74176258,-73.86771142,"retail store"
"4604","SAHEL LLC THE","Queens",2014,"32-20 34TH AVENUE",40.75893333,-73.92597596,"retail store"
"4605","CORNER AVE S CONVENIENCE INC","Brooklyn",2014,"1101 AVE S",40.60316207,-73.96136771,"retail store"
"4606","BASAK BAKERY INC","Brooklyn",2014,"2105 AVENUE U",40.59965827,-73.95011601,"retail store"
"4607","KINGS KOLACHE LLC","Brooklyn",2014,"321 STARR ST. UNIT F",40.70776529,-73.92062462,"retail store"
"4608","OLALEYE ELIZABETH","Queens",2014,"127-21 MERRICK BLVD",40.68385202,-73.77004198,"retail store"
"4609","MWA 99 CENT & PLUS DISCOUNT CORP","Brooklyn",2014,"7019 3RD AVENUE",40.63430629,-74.02645956,"retail store"
"4610","MORNINGSIDE MEAT MARKET LLC","Manhattan",2014,"2060 2ND AVENUE",40.79034929,-73.94241363,"retail store"
"4611","A&R GROCERY DELI DELI CORP","Bronx",2014,"57 E 168TH ST",40.83685443,-73.91930891,"retail store"
"4612","9TH GROCERY INC","Manhattan",2014,"350 9TH AVE",40.75091493,-73.99802708,"retail store"
"4613","TIKA PETROLEUM INC","Staten Island",2014,"6778 HYLAN BLVD",40.50761734,-74.22937479,"retail store"
"4614","102 DELI & GROCERY CORP","Queens",2014,"102-02 JAMAICA AVE",40.69506629,-73.84509051,"retail store"
"4615","HAMOUD MOHAMED A ESSA","Brooklyn",2014,"2761 FULTON ST",40.67797986,-73.89273534,"retail store"
"4616","M & N PORK STORE INC","Brooklyn",2014,"2611 AVENUE U",40.60019949,-73.94525861,"retail store"
"4617","BACKYARD FARM INC","Queens",2014,"94-01 63RD DR.",40.72882641,-73.86334588,"retail store"
"4618","FOOD YOU DESIRE CORP","Brooklyn",2014,"8917 5TH AVE",40.61931454,-74.02790895,"retail store"
"4619","SUGAR HILL FISH PLACE LLC","Manhattan",2014,"346 WEST 145TH STREET",40.82365637,-73.94424725,"retail store"
"4620","930-CLARIBEL DELI INC","Bronx",2014,"6655 BROADWAY",40.91008498,-73.89680367,"retail store"
"4621","WHOLE GREEN MARKET INC","Queens",2014,"92-01 63RD DR",40.72754193,-73.86417929,"retail store"
"4622","FOAD MUTHANA & MOHAMAD RASHEED","Bronx",2014,"1501 WHITEPLAINS ROAD",40.83794995,-73.86376899,"retail store"
"4623","SARATOGA MARKET CORP","Brooklyn",2014,"409 SARATOGA AVE",40.67182251,-73.9167785,"retail store"
"4624","LEES FAMILY FARM CORP","Queens",2014,"2901 BROADWAY",40.76277811,-73.92678641,"retail store"
"4625","KEVIN SON DELI CORP","Queens",2014,"110-26 SUTPHIN BLVD",40.68931043,-73.79631965,"retail store"
"4626","GARCIA MIRIAM ZAMORA","Queens",2014,"146-04 LIBERTY AVE",40.69476022,-73.80594996,"retail store"
"4627","C T SEAFOOD MARTS INC","Manhattan",2014,"249 GRAND ST",40.71813299,-73.9941122,"retail store"
"4628","LINDEN FARMS FOOD CORP","Brooklyn",2014,"2205 LINDEN BLVD",40.66286502,-73.88137216,"retail store"
